"id","group","growth"
1,"F26",9.0
2,"F26",6.0
3,"F26",6.0
4,"CA319",7.0
5,"CA319",9.0
6,"CA319",6.6
7,"CONTROLE",9.0
8,"CONTROLE",9.0
9,"CONTROLE",9.0
10,"F112",3.6
11,"F112",3.0
12,"F112",4.4
13,"A122",9.0
14,"A122",9.0
15,"A122",9.0
16,"CA387",7.0
17,"CA387",9.0
18,"CA387",5.7
19,"S_NOME",9.0
20,"S_NOME",6.2
21,"S_NOME",6.5
22,"CA323",5.0
23,"CA323",5.1
24,"CA323",6.1
25,"CA1010",4.6
26,"CA1010",4.4
27,"CA1010",4.2
28,"F811",6.3
29,"F811",5.2
30,"F811",5.3
31,"CA18",7.0
32,"CA18",7.5
33,"CA18",5.5
34,"CA522",3.5
35,"CA522",5.4
36,"CA522",5.9
37,"CA216",6.7
38,"CA216",6.5
39,"CA216",7.3
40,"CR87",9.0
41,"CR87",5.5
42,"CR87",7.6
43,"CE83",9.0
44,"CE83",9.0
45,"CE83",9.0
46,"F29",4.7
47,"F29",4.5
48,"F29",4.5
49,"CA71",5.8
50,"CA71",5.5
51,"CA71",8.0
52,"CA64",6.7
53,"CA64",5.2
54,"CA64",7.5
55,"CR819",5.5
56,"CR819",5.0
57,"CR819",5.0
58,"CR13",8.0
59,"CR13",6.6
60,"CR13",6.5
61,"CA610",6.0
62,"CA610",4.0
63,"CA610",5.0
64,"CA117",6.8
65,"CA117",7.5
66,"CA117",7.7
67,"F46",6.0
68,"F46",6.5
69,"F46",5.5
70,"CA824",7.0
71,"CA824",5.0
72,"CA824",6.5
73,"CA46",5.9
74,"CA46",6.0
75,"CA46",7.5
76,"F117",7.0
77,"F117",6.5
78,"F117",7.5
79,"CR72",5.8
80,"CR72",6.0
81,"CR72",5.5
82,"F27",7.5
83,"F27",7.0
84,"F27",6.5
85,"CR74",6.0
86,"CR74",5.5
87,"CR74",6.0
88,"CR96",6.0
89,"CR96",7.0
90,"CR96",6.1
91,"CR33",4.5
92,"CR33",5.7
93,"CR33",6.1
94,"CA919",6.5
95,"CA919",6.5
96,"CA919",5.5
97,"CA215",5.8
98,"CA215",5.5
99,"CA215",6.0
100,"CR312",7.0
101,"CR312",7.0
102,"CR312",7.5
103,"CA414",6.5
104,"CA414",6.0
105,"CA414",7.3
106,"CA317",8.0
107,"CA317",6.0
108,"CA317",5.5
109,"CA322",7.5
110,"CA322",5.9
111,"CA322",5.5
112,"CA319",6.5
113,"CA319",5.0
114,"CA319",5.2
115,"CA313",7.0
116,"CA313",5.0
117,"CA313",6.0
118,"CA52",5.4
119,"CA52",5.0
120,"CA52",5.2
121,"CR53",5.8
122,"CR53",6.0
123,"CR53",7.5
124,"CR64",6.5
125,"CR64",6.6
126,"CR64",6.0
127,"F31",5.5
128,"F31",5.0
129,"F31",7.0
130,"CA99",5.0
131,"CA99",5.0
132,"CA99",5.5
133,"CR75",7.5
134,"CR75",8.0
135,"CR75",7.0
136,"CA116",8.0
137,"CA116",7.5
138,"CA116",7.0
