"id","colonyLength","rootLength","group"
1,16.5,15.0,"CONTROLE"
2,0.0,0.0,"CONTROLE"
3,0.0,0.0,"CONTROLE"
4,7.0,11.0,"CONTROLE"
5,5.5,6.5,"CONTROLE"
6,11.0,14.5,"CONTROLE"
7,16.5,14.0,"CONTROLE"
8,0.0,0.0,"CONTROLE"
9,14.0,13.0,"CR53"
10,12.5,10.0,"CR53"
11,1.5,6.0,"CR53"
12,15.5,7.5,"CR53"
13,0.0,0.0,"CR53"
14,0.0,0.0,"CR53"
15,16.0,18.0,"CR53"
16,13.5,15.0,"CR53"
17,9.0,11.5,"CR53"
18,0.0,0.0,"F31"
19,3.5,3.5,"F31"
20,17.0,10.0,"F31"
21,15.0,13.5,"F31"
22,15.5,12.0,"F31"
23,5.5,3.0,"F31"
24,18.5,16.0,"F31"
25,0.0,0.0,"F31"
26,0.0,0.0,"F31"
27,0.0,0.0,"CA319"
28,10.0,12.5,"CA319"
29,14.0,6.5,"CA319"
30,18.5,16.5,"CA319"
31,12.5,17.0,"CA319"
32,14.5,11.5,"CA319"
33,12.5,13.0,"CA319"
34,9.5,7.5,"CA319"
35,16.0,13.0,"CA319"
36,13.5,1.5,"CA322"
37,11.0,7.5,"CA322"
38,13.5,7.5,"CA322"
39,14.5,17.0,"CA322"
40,0.0,0.0,"CA322"
41,14.5,15.5,"CA322"
42,13.0,11.5,"CA322"
43,17.5,11.0,"CA322"
44,13.0,14.0,"CA322"
45,7.0,5.0,"CA910"
46,14.0,7.5,"CA910"
47,12.0,10.0,"CA910"
48,9.0,7.5,"CA910"
49,0.0,0.0,"CA910"
50,9.0,6.0,"CA910"
51,11.5,8.5,"CA910"
52,12.0,17.0,"CA910"
53,13.5,8.5,"CA910"
54,13.5,14.0,"CR75"
55,17.0,12.5,"CR75"
56,14.0,9.0,"CR75"
57,15.0,14.0,"CR75"
58,7.5,10.0,"CR75"
59,17.0,11.5,"CR75"
60,14.0,13.0,"CR75"
61,9.0,12.0,"CR75"
62,8.5,11.0,"CR75"
63,0.0,0.0,"CR96"
64,0.0,0.0,"CR96"
65,12.5,6.0,"CR96"
66,0.0,0.0,"CR96"
67,0.0,0.0,"CR96"
68,16.5,7.0,"CR96"
69,0.0,0.0,"CR96"
70,16.0,10.0,"CR96"
71,9.5,11.0,"CR96"
72,11.0,18.0,"CONTROLE"
73,0.0,0.0,"CONTROLE"
74,20.5,15.0,"CONTROLE"
75,0.0,0.0,"CONTROLE"
76,15.5,16.0,"CONTROLE"
77,16.0,11.5,"CONTROLE"
78,0.0,0.0,"CONTROLE"
79,16.0,16.0,"CONTROLE"
80,13.5,12.0,"CONTROLE"
81,15.5,5.0,"CA323"
82,9.0,7.0,"CA323"
83,7.0,2.0,"CA323"
84,16.0,7.0,"CA323"
85,0.0,0.0,"CA323"
86,15.0,16.0,"CA323"
87,13.5,18.5,"CR72"
88,15.0,14.0,"CR72"
89,13.0,10.0,"CR72"
90,10.0,13.0,"CR72"
91,12.5,13.0,"CR72"
92,18.5,22.5,"CR72"
93,17.5,12.0,"CR72"
94,12.0,8.0,"CR72"
95,11.0,12.0,"CR72"
96,0.0,0.0,"CR819"
97,14.0,13.5,"CR819"
98,12.5,12.0,"CR819"
99,14.0,15.0,"CR819"
100,17.0,12.0,"CR819"
101,13.5,11.0,"CR819"
